species,vial,temp,viaiblity
D.immigrans,11,26,15
D.immigrans,12,26,4
D.immigrans,13,26,15
D.immigrans,14,26,6
D.immigrans,15,26,1
D.immigrans,16,26,0
D.immigrans,17,26,1
D.immigrans,18,26,2
D.immigrans,19,26,5
D.immigrans,20,26,6
D.immigrans,1,28,1
D.immigrans,2,28,1
D.immigrans,3,28,1
D.immigrans,4,28,0
D.immigrans,5,28,0
D.immigrans,6,28,0
D.immigrans,7,28,0
D.immigrans,8,28,0
D.immigrans,9,28,0
D.immigrans,10,28,0
D.immigrans,11,28,0
D.immigrans,12,28,0
D.immigrans,13,28,0
D.immigrans,14,28,0
D.immigrans,15,28,0
D.immigrans,16,28,0
D.immigrans,17,28,0
D.immigrans,18,28,0
D.immigrans,19,28,0
D.immigrans,20,28,0
D.melanogaster,1,20,17
D.melanogaster,2,20,19
D.melanogaster,3,20,17
D.melanogaster,4,20,17
D.melanogaster,5,20,15
D.melanogaster,6,20,15
D.melanogaster,7,20,16
D.melanogaster,8,20,16
D.melanogaster,9,20,15
D.melanogaster,10,20,15
D.melanogaster,11,20,16
D.melanogaster,12,20,14
D.melanogaster,13,20,16
D.melanogaster,14,20,17
D.melanogaster,15,20,13
D.melanogaster,16,20,19
D.melanogaster,17,20,14
D.melanogaster,18,20,19
D.melanogaster,19,20,18
D.melanogaster,20,20,14
D.melanogaster,1,23,16
D.melanogaster,2,23,17
D.melanogaster,3,23,12
D.melanogaster,4,23,15
D.melanogaster,5,23,17
D.melanogaster,6,23,16
D.melanogaster,7,23,14
D.melanogaster,8,23,20
D.melanogaster,9,23,16
D.melanogaster,10,23,16
D.melanogaster,11,23,16
D.melanogaster,12,23,16
D.melanogaster,13,23,17
D.melanogaster,14,23,16
D.melanogaster,15,23,13
D.melanogaster,16,23,16
D.melanogaster,17,23,17
D.melanogaster,18,23,18
D.melanogaster,19,23,14
D.melanogaster,20,23,20
D.melanogaster,1,26,16
D.melanogaster,2,26,17
D.melanogaster,3,26,19
D.melanogaster,4,26,18
D.melanogaster,5,26,17
D.melanogaster,6,26,19
D.melanogaster,7,26,15
D.melanogaster,8,26,17
D.melanogaster,9,26,15
D.melanogaster,10,26,18
D.melanogaster,11,26,18
D.melanogaster,12,26,18
D.melanogaster,13,26,15
D.melanogaster,14,26,17
D.melanogaster,15,26,17
D.melanogaster,16,26,16
D.melanogaster,17,26,19
D.melanogaster,18,26,16
D.melanogaster,19,26,15
D.melanogaster,20,26,18
D.melanogaster,1,28,16
D.melanogaster,2,28,16
D.melanogaster,3,28,20
D.melanogaster,4,28,17
D.melanogaster,5,28,17
D.melanogaster,6,28,15
D.melanogaster,7,28,17
D.melanogaster,8,28,18
D.melanogaster,9,28,17
D.melanogaster,10,28,17
D.melanogaster,11,28,15
D.melanogaster,12,28,18
D.melanogaster,13,28,17
D.melanogaster,14,28,19
D.melanogaster,15,28,17
D.melanogaster,16,28,19
D.melanogaster,17,28,17
D.melanogaster,18,28,14
D.melanogaster,19,28,16
D.melanogaster,20,28,17
D.serrata,1,26,14
D.serrata,2,26,11
D.serrata,3,26,8
D.serrata,4,26,10
D.serrata,5,26,12
D.serrata,6,26,14
D.serrata,7,26,16
D.serrata,8,26,4
D.serrata,9,26,9
D.serrata,10,26,10
D.serrata,11,26,9
D.serrata,12,26,6
D.serrata,13,26,14
D.serrata,14,26,10
D.serrata,15,26,5
D.serrata,16,26,7
D.serrata,17,26,11
D.serrata,18,26,7
D.serrata,19,26,5
D.serrata,20,26,10
D.serrata,1,28,10
D.serrata,2,28,12
D.serrata,3,28,6
D.serrata,4,28,7
D.serrata,5,28,10
D.serrata,6,28,6
D.serrata,7,28,13
D.serrata,8,28,10
D.serrata,9,28,13
D.serrata,10,28,7
D.serrata,11,28,12
D.serrata,12,28,10
D.serrata,13,28,11
D.serrata,14,28,11
D.serrata,15,28,10
D.serrata,16,28,14
D.serrata,17,28,13
D.serrata,19,28,9
D.serrata,20,28,10
D.serrata,1,23,15
D.serrata,2,23,11
D.serrata,3,23,10
D.serrata,4,23,18
D.serrata,5,23,16
D.serrata,6,23,12
D.serrata,7,23,12
D.serrata,8,23,13
D.serrata,9,23,16
D.serrata,10,23,15
D.serrata,11,23,14
D.serrata,12,23,17
D.serrata,13,23,12
D.serrata,14,23,8
D.serrata,15,23,5
D.serrata,16,23,15
D.serrata,17,23,2
D.serrata,18,23,7
D.serrata,19,23,5
D.serrata,20,23,13
D.serrata,1,20,17
D.serrata,2,20,17
D.serrata,3,20,6
D.serrata,4,20,14
D.serrata,5,20,7
D.serrata,6,20,13
D.serrata,7,20,14
D.serrata,8,20,14
D.serrata,9,20,13
D.serrata,10,20,12
D.serrata,11,20,14
D.serrata,12,20,9
D.serrata,13,20,10
D.serrata,14,20,16
D.serrata,15,20,11
D.serrata,16,20,13
D.serrata,17,20,17
D.serrata,18,20,7
D.serrata,19,20,10
D.serrata,20,20,8
D.simulans,1,28,19
D.simulans,2,28,18
D.simulans,3,28,16
D.simulans,4,28,19
D.simulans,5,28,20
D.simulans,6,28,18
D.simulans,7,28,17
D.simulans,8,28,19
D.simulans,9,28,16
D.simulans,10,28,17
D.simulans,11,28,18
D.simulans,12,28,18
D.simulans,13,28,20
D.simulans,14,28,19
D.simulans,15,28,19
D.simulans,16,28,19
D.simulans,17,28,19
D.simulans,18,28,20
D.simulans,19,28,19
D.simulans,20,28,18
D.simulans,1,26,17
D.simulans,2,26,19
D.simulans,3,26,20
D.simulans,4,26,16
D.simulans,5,26,20
D.simulans,6,26,17
D.simulans,7,26,17
D.simulans,8,26,18
D.simulans,9,26,17
D.simulans,10,26,17
D.simulans,11,26,19
D.simulans,12,26,19
D.simulans,13,26,17
D.simulans,14,26,17
D.simulans,15,26,20
D.simulans,16,26,20
D.simulans,17,26,18
D.simulans,18,26,18
D.simulans,19,26,18
D.simulans,20,26,18
D.simulans,1,23,19
D.simulans,2,23,20
D.simulans,3,23,18
D.simulans,4,23,18
D.simulans,5,23,7
D.simulans,6,23,19
D.simulans,7,23,19
D.simulans,8,23,19
D.simulans,9,23,19
D.simulans,10,23,20
D.simulans,11,23,18
D.simulans,12,23,19
D.simulans,13,23,18
D.simulans,14,23,19
D.simulans,15,23,19
D.simulans,16,23,11
D.simulans,17,23,17
D.simulans,18,23,20
D.simulans,19,23,19
D.simulans,20,23,19
D.simulans,1,20,19
D.simulans,2,20,17
D.simulans,3,20,18
D.simulans,4,20,18
D.simulans,5,20,17
D.simulans,6,20,20
D.simulans,7,20,17
D.simulans,8,20,18
D.simulans,9,20,19
D.simulans,10,20,18
D.simulans,11,20,19
D.simulans,12,20,15
D.simulans,13,20,18
D.simulans,14,20,18
D.simulans,15,20,18
D.simulans,16,20,20
D.simulans,17,20,18
D.simulans,18,20,19
D.simulans,19,20,17
D.simulans,20,20,17
D.sulfurigaster,1,20,16
D.sulfurigaster,2,20,16
D.sulfurigaster,3,20,16
D.sulfurigaster,4,20,13
D.sulfurigaster,5,20,17
D.sulfurigaster,6,20,16
D.sulfurigaster,7,20,19
D.sulfurigaster,8,20,17
D.sulfurigaster,9,20,20
D.sulfurigaster,10,20,19
D.sulfurigaster,11,20,16
D.sulfurigaster,12,20,15
D.sulfurigaster,13,20,18
D.sulfurigaster,14,20,16
D.sulfurigaster,15,20,20
D.sulfurigaster,16,20,18
D.sulfurigaster,17,20,19
D.sulfurigaster,18,20,17
D.sulfurigaster,19,20,12
D.sulfurigaster,20,20,18
D.sulfurigaster,1,23,15
D.sulfurigaster,2,23,19
D.sulfurigaster,3,23,19
D.sulfurigaster,4,23,19
D.sulfurigaster,5,23,14
D.sulfurigaster,6,23,12
D.sulfurigaster,7,23,14
D.sulfurigaster,8,23,14
D.sulfurigaster,9,23,16
D.sulfurigaster,10,23,17
D.sulfurigaster,11,23,16
D.sulfurigaster,12,23,16
D.sulfurigaster,13,23,16
D.sulfurigaster,14,23,11
D.sulfurigaster,15,23,17
D.sulfurigaster,16,23,17
D.sulfurigaster,17,23,12
D.sulfurigaster,18,23,16
D.sulfurigaster,19,23,19
D.sulfurigaster,20,23,15
D.sulfurigaster,1,26,11
D.sulfurigaster,2,26,16
D.sulfurigaster,3,26,12
D.sulfurigaster,4,26,16
D.sulfurigaster,5,26,13
D.sulfurigaster,6,26,12
D.sulfurigaster,7,26,16
D.sulfurigaster,8,26,16
D.sulfurigaster,9,26,18
D.sulfurigaster,10,26,12
D.sulfurigaster,11,26,10
D.sulfurigaster,12,26,13
D.sulfurigaster,13,26,14
D.sulfurigaster,14,26,14
D.sulfurigaster,15,26,18
D.sulfurigaster,16,26,15
D.sulfurigaster,17,26,17
D.sulfurigaster,18,26,12
D.sulfurigaster,19,26,20
D.sulfurigaster,20,26,17
D.sulfurigaster,1,28,8
D.sulfurigaster,2,28,7
D.sulfurigaster,3,28,8
D.sulfurigaster,4,28,9
D.sulfurigaster,5,28,3
D.sulfurigaster,6,28,6
D.sulfurigaster,7,28,4
D.sulfurigaster,8,28,7
D.sulfurigaster,9,28,3
D.sulfurigaster,10,28,7
D.sulfurigaster,11,28,1
D.sulfurigaster,12,28,13
D.sulfurigaster,13,28,7
D.sulfurigaster,14,28,10
D.sulfurigaster,15,28,7
D.sulfurigaster,16,28,8
D.sulfurigaster,17,28,1
D.sulfurigaster,18,28,7
D.sulfurigaster,19,28,2
D.sulfurigaster,20,28,3
